contaminant,depth_zone,n_samples,best_n_components,delta_bic,delta_bic_ci_lo,delta_bic_ci_hi,bimodal,saddle_log1p,saddle_original,comp1_mean,comp1_weight,comp2_mean,comp2_weight,comp3_mean,comp3_weight,comp4_mean,comp4_weight
As,Shallow,363,3,550.2,228.5,734.6,True,3.3356,27.094,0.0001,0.143,2.7573,0.5478,50.9519,0.3092,,
As,Intermediate,506,3,512.7,329.7,693.5,True,3.1596,22.5622,0.0022,0.1355,3.4825,0.5315,54.7678,0.333,,
As,Medium_Deep,462,3,251.3,99.1,338.9,True,0.134,0.1434,0.0228,0.1461,3.2114,0.5797,38.953,0.2742,,
As,Deep,342,3,201.5,130.4,281.9,True,0.1635,0.1776,0.0308,0.1726,4.1923,0.7198,56.8318,0.1076,,
As,Overall,1673,3,1266.9,1104.9,1767.2,True,0.1102,0.1164,0.0147,0.1625,3.5933,0.5739,49.5689,0.2636,,
Mn2+,Shallow,363,3,227.6,164.6,305.9,True,0.1806,0.1979,0.0666,0.3102,0.6817,0.5935,2.2104,0.0963,,
Mn2+,Intermediate,506,3,423.7,308.2,528.9,True,0.1757,0.1921,0.0613,0.3372,0.6331,0.5919,3.0343,0.0709,,
Mn2+,Medium_Deep,462,4,382.8,293.3,486.0,True,1.7132,4.5469,0.0727,0.393,0.4421,0.4016,1.3016,0.1927,7.1252,0.0127
Mn2+,Deep,342,3,330.2,240.3,450.8,True,0.2958,0.3442,0.0989,0.5738,0.5905,0.3569,2.2653,0.0693,,
Mn2+,Overall,1673,4,1493.5,1317.2,1681.6,True,1.6737,4.3318,0.0657,0.36,0.4603,0.4321,1.2919,0.1899,6.8465,0.018
Fe2+,Shallow,363,4,143.1,98.0,211.9,True,2.2991,8.9652,0.1751,0.2443,1.8967,0.3532,5.4593,0.2955,12.447,0.107
Fe2+,Intermediate,506,4,95.1,47.3,149.6,True,0.381,0.4638,0.1617,0.1249,1.4206,0.3171,5.0834,0.4464,11.3154,0.1116
Fe2+,Medium_Deep,462,4,64.5,32.3,118.9,True,0.385,0.4696,0.1913,0.1316,0.9545,0.2105,3.7711,0.3738,6.3065,0.2841
Fe2+,Deep,342,3,21.8,-0.5,58.5,True,0.5339,0.7056,0.2283,0.1896,2.1461,0.459,5.1428,0.3514,,
Fe2+,Overall,1673,4,401.8,325.7,502.9,True,0.4459,0.5619,0.187,0.1644,1.6525,0.3664,5.0856,0.3812,11.6833,0.088
Cr3+,Shallow,363,4,283.0,201.5,395.8,True,0.0065,0.0066,0.0019,0.448,0.0111,0.3778,0.0243,0.1567,0.0468,0.0175
Cr3+,Intermediate,506,4,1071.8,744.1,1338.1,True,0.1439,0.1547,0.0018,0.4406,0.0141,0.4698,0.0519,0.0787,0.2126,0.0109
Cr3+,Medium_Deep,462,4,965.1,537.2,1306.5,True,0.278,0.3205,0.0027,0.4935,0.0193,0.4512,0.0781,0.051,0.4666,0.0043
Cr3+,Deep,342,4,873.5,499.5,1150.8,True,0.2611,0.2983,0.0041,0.7354,0.0229,0.2235,0.0766,0.0352,0.4682,0.0058
Cr3+,Overall,1673,4,3671.7,2765.9,4332.1,True,0.1578,0.1709,0.0022,0.4627,0.0149,0.4617,0.054,0.0701,0.3257,0.0055
PO43-,Shallow,363,2,105.2,73.0,145.6,True,0.9125,1.4905,0.4749,0.664,2.5863,0.336,,,,
PO43-,Intermediate,506,2,84.9,58.1,123.1,True,1.0537,1.8684,0.6562,0.6319,3.1629,0.3681,,,,
PO43-,Medium_Deep,462,2,58.7,33.6,97.0,True,1.0949,1.9888,0.6539,0.6602,3.2935,0.3398,,,,
PO43-,Deep,342,4,228.2,-13.6,332.2,True,,,0.01,0.0788,0.6881,0.5501,1.855,0.2532,3.9542,0.1179
PO43-,Overall,1673,3,301.9,254.9,372.1,True,1.233,2.4314,0.4134,0.4444,1.3051,0.3136,3.5948,0.242,,
NO3-,Shallow,363,2,28.9,3.7,62.6,True,,,1.2237,0.6583,3.0097,0.3417,,,,
NO3-,Intermediate,506,2,20.0,-2.6,53.7,True,,,1.4144,0.6795,3.148,0.3205,,,,
NO3-,Medium_Deep,462,2,107.1,67.2,152.6,True,,,1.4229,0.7682,4.7772,0.2318,,,,
NO3-,Deep,342,2,44.5,4.7,102.7,True,,,1.5318,0.7403,2.5743,0.2597,,,,
NO3-,Overall,1673,2,249.5,184.1,332.2,True,,,1.4211,0.7289,3.3703,0.2711,,,,
